lemma	bin_tag	mim_tag	freq	rank	ind	pre_kw_orig	kw_orig	post_kw_orig	pre_kw	kw	post_kw	ipa_sd	full_cat	bin_tag_en	tier	verb_1st_pres	verb_2nd_pres	verb_3rd_pres	verb_1st_past	verb_2nd_past	verb_3rd_past	verb_lh_þt	OBEYGJANLEGT	ÞFET	ÞGFET	EFET	NFFT	ÞFFT	ÞGFFT	EFFT	ft	et	ÞF	ÞGF	EF	lo.fst	lo.mst	lo.est	MST	EST	pronounce	manual_en	manual_ukr	full_cat_ukr
inn	fs	a	22662	150.5	495292	Karlar og konur í framboði sendu hins vegar	inn	jafnmargar kosningagreinar.	Farðu	inn	í húsið.	ɪn	Forsetning	prep.	1K								inn																		inn.mp3	inside, into	всередені; в	прийменник
fyrstur	lo	l	22315	152	416955	Óvíst er hvenær hægt verður að fá	fyrstu	greiðslu.	Hann mætir	fyrstur	í tímann.	fɪr̥stʏr	Lýsingarorð	adj.	1K																					fyrstur  --  fyrst -- fyrst					fyrstur.mp3	first	перший	прикметник
áður	ao	a	22211	153	495475	Mennirnir hafa allir komið við sögu lögreglu	áður	.	Ég hef hitt hann	áður	.	auːðʏr	Atviksorð	adv.	1K								áður																		áður.mp3	previously, before	завчасно / раніше; до	прислівник
kona	kvk	nv	21979	154	393384		Konan	er ólétt og komin sjö mánuði á leið.	Ég sá	konu	í bílnum.	kʰɔːna	Nafnorð	f.	1K									konu	konu	konu	konur	konur	konum	kvenna											kona.mp3	woman	жінка	іменник
mynd	kvk	nv	21436	155	10386	Þúsundir manna sáu ljósið og tóku af því	myndir	.	Hún tekur fallegar	myndir	.	mɪnt	Nafnorð	f.	1K									mynd	mynd	myndar	myndir	myndir	myndum	mynda											mynd.mp3	photo; movie; image	фотографія; фільм; зображення	іменник
stór	lo	l	21289	156	389854	Þetta er	stór	dagur.	Þetta er 	stórt	barn.	stouːr	Lýsingarorð	adj.	1K																					stór  --  stór -- stórt	stærri -- stærri -- stærra	stærstur -- stærst -- stærst			stór.mp3	large; tall	великий; високий	прикметник
fyrr	ao	a	21277	157	495560	Frístundaheimili eiga að taka við börnum	fyrr	en áður.	Ég mætti	fyrr 	en ég hélt.	fɪr	Atviksorð	adv.	1K								fyrr																		fyrr.mp3	earlier, before	раніше; до	прислівник
dæmi	hk	nh	21176	158	871	Hann var til	dæmis	í fjórða sæti allt árið í fyrra.	Ég gef þér gott	dæmi	.	taiːmɪ	Nafnorð	n.	1K									dæmi	dæmi	dæmis	dæmi	dæmi	dæmum	dæma											dæmi.mp3	example	приклад	іменник
króna	kvk	nv	21098	159	14215	Stór bjórdós hækkar um 18	krónur	.	Þetta kostar 100	krónur	.	kʰrouːna	Nafnorð	f.	1K									krónu	krónu	krónu	krónur	krónur	krónum	króna											króna.mp3	icelandic krona (currency); (tree) crown	ісландська крона (валюта)	іменник
ná	so	s	20989	160	463902	Þeir	náðu	ökumanninum sem reyndist vera undir áhrifum áfengis.	Hann 	nær	ekki að koma.	nauː	Sagnorð	v.	1K	næ	nærð	nær	náði	náðir	náði	náð																			ná.mp3	get, obtain; catch	отримувати; отримувати / досягати	дієслово
hvort	st	c	20510	161	495365	Verið er að kanna	hvort	þeir stálu bílnum.	Ég veit ekki	hvort	ég komi.	kʰvɔr̥t	Samtenging	conj.	1K								hvort																		hvort.mp3	if, whether	якщо; чи	сполучник
hægur	lo	l	20312	162	409059	Víða er	hægt	að skella sér á skíði í dag.	Hann keyrir	hægt	.	haiːɣʏr	Lýsingarorð	adj.	1K																					hægur  --  hæg -- hægt	hægari -- hægari -- hægara	hægastur -- hægust -- hægast			hægur.mp3	slow; possible	повільно; можливо	прикметник
nota	so	s	20280	163	422130	Þeir segja að hann verði aðeins	notaður	í friðsamlegum tilgangi.	Hún	notar	gleraugu.	nɔːta	Sagnorð	v.	1K	nota	notar	notar	notaði	notaðir	notaði	notað																			nota.mp3	use	використовувати	дієслово
sjálfur	fn	fb	20221	164	478780	Ég hef ekki komið nálægt þessu	sjálfur	.	Barnið borðar	sjálft	.	sjaulvʏr	Fornafn	pron.	1K																sjálfir -- sjálfar -- sjálf	sjálfur  --  sjálf -- sjálft									sjálfur.mp3	oneself	себе / собою / сам	займенник
milli	fs	a	20114	165.5	495304	Upphæðin hækkar um tæpa 3 milljarða	milli	ára.	Ég bý	milli	Reykjavíkur og Kópavogs	mɪtlɪ	Forsetning	prep.	1K								milli																		milli.mp3	between	між	прийменник
síðan	fs	a	19631	167	495327	Ekkert hefur heyrst frá henni	síðan	.	Ekkert hefur gerst	síðan	.	siːðan	Forsetning	prep.	1K								síðan																		síðan.mp3	since	з тих пір / з	прийменник
slíkur	fn	fb	19528	168	478781	Það eru fleiri Norðmenn áhugasamir um	slíkt	samstarf.	Við eigum	slíkan	hest.	stliːkʏr	Fornafn	pron.	1K																slíkir -- slíkar -- slík	slíkur  --  slík -- slíkt									slíkur.mp3	such	такий	займенник
ætla	so	s	19426	169	425102	Af þeim	ætla	þeir að reyna að selja 50 á Japansmarkað.	Ég	ætla	að læra íslensku.	aihtla	Sagnorð	v.	1K	ætla	ætlar	ætlar	ætlaði	ætlaðir	ætlaði	ætlað																			ætla.mp3	intend; be about to do sth	мати намір / мати на увазі / хотіти; зібратися щось робити	дієслово
líka	ao	a	19363	170	495670	Síðustu ár hafa	líka	reynst mér og fjölskyldunni persónulega erfið.	Ég keypti	líka	brauð.	liːka	Atviksorð	adv.	1K								líka																		líka.mp3	also	також	прислівник
síðari	lo	l	19311	171	165046	Marel tapaði 1,2 milljörðum króna á	síðasta	ári.	Við heyrum	síðari	hluta lagsins.	siːðarɪ	Lýsingarorð	adj.	1K																					síðari  --	síðari -- síðari -- síðara	síðastur -- síðust -- síðast			síðari.mp3	latter; longer	пізніше; довше	прикметник
leið	kvk	nv	18804	172	10379	Skipin voru á	leið	frá Rússlandi til Bandaríkjanna.	Við förum styttri	leið	.	leiːð	Nafnorð	f.	1K									leið	leið	leiðar	leiðir	leiðir	leiðum	leiða											leið.mp3	way, route	шлях / спосіб; маршрут / путь	іменник
oft	ao	a	18767	173	400730	Eftir það hefur hún	oft	farið til Bandaríkjanna.	Ég hef gert þetta	oft	.	ɔft	Atviksorð	adv.	1K																								oftar	oftast	oft.mp3	often	часто	прислівник
fyrirtæki	hk	nh	18739	174	68229	Brotist var inn í fjögur	fyrirtæki	á höfuðborgarsvæðinu í nótt.	Hún á	fyrirtæki	.	fɪːrɪr̥tʰaicɪ	Nafnorð	n.	1K									fyrirtæki	fyrirtæki	fyrirtækis	fyrirtæki	fyrirtæki	fyrirtækjum	fyrirtækja											fyrirtæki.mp3	company	фірма / компанія	іменник
sýna	so	s	18484	175	435442	Sænsk rannsókn	sýnir	svipaðar niðurstöður.	Ég skal	sýna	þér húsið.	siːna	Sagnorð	v.	1K	sýni	sýnir	sýnir	sýndi	sýndir	sýndi	sýnt																			sýna.mp3	show	показувати	дієслово
hvernig	ao	a	18411	176	495622	Ekki er vitað	hvernig	eldurinn kom upp.	Hann veit ekki	hvernig	það er gert.	kʰvɛrtnɪɣ	Atviksorð	adv.	1K								hvernig																		hvernig.mp3	how	як	прислівник
gamall	lo	l	18136	177	413522	Þá býr	eldri	kona í íbúð á þriðju hæð.	Hún á	gamlan	kött.	kaːmatl̥	Lýsingarorð	adj.	1K																					gamall  --  gömul -- gamalt	eldri -- eldri -- eldra	elstur -- elst -- elst			gamall.mp3	old	старий	прикметник
aftur	ao	a	17943	178	488626	Málið verður	aftur	athugað síðdegis.	Við hittumst	aftur	.	aftʏr	Atviksorð	adv.	1K								aftur																		aftur.mp3	again	знову	прислівник
enn	ao	a	17917	179	495539	Fundurinn stóð	enn	yfir nú rétt fyrir fréttir.	Ég bíð 	enn	eftir svari.	ɛn	Atviksorð	adv.	1K								enn																		enn.mp3	still; yet	досі / ще; ще	прислівник
já	uh	a	17890	180	495405		Já	, ég hef svo sem ekkert um þetta að segja.		Já	, ég veit.	jauː	Upphrópanir	exclam.	1K								já																		já.mp3	yes	так	вигук
samkvæmt	fs	a	17736	181	495324	Athöfnin hefst	samkvæmt	venju með guðsþjónustu í Dómkirkjunni.		Samkvæmt	honum er tíminn búinn.	samkʰvaim̥t	Forsetning	prep.	1K								samkvæmt																		samkvæmt.mp3	according to	відповідно до / згідно з	прийменник
ræða	so	s	17476	182	435199	Hér er um að	ræða	svonefnt þriggja mánaða verð.	Við	ræðum	efnið á morgun.	raiːða	Sagnorð	v.	1K	ræði	ræðir	ræðir	ræddi	ræddir	ræddi	rætt																			ræða.mp3	speak, discuss	говорити; обговорювати	дієслово
reyna	so	s	17435	183	435179	Af þeim ætla þeir að	reyna	að selja 50 á Japansmarkað.	Ég	reyni	eins og ég get.	reiːna	Sagnorð	v.	1K	reyni	reynir	reynir	reyndi	reyndir	reyndi	reynt																			reyna.mp3	try, attempt	пробувати; намагатися / пробувати / спроба	дієслово
starf	hk	nh	17396	184	3539	Mikilvægast væri að fjölga	störfum	í landinu.	Mörg	störf	eru í boði.	starv	Nafnorð	n.	1K									starf	starfi	starfs	störf	störf	störfum	starfa											starf.mp3	work; job	робота; робота	іменник
búa	so	s	16797	185	433541	Hann var fæddur árið 1963 og	bjó	í Reykjavík.	Ég	bý	í Reykjavík.	puːa	Sagnorð	v.	1K	bý	býrð	býr	bjó	bjóst	bjó	búið																			búa.mp3	live, reside; prepare	жити; проживати; підготовлюватися	дієслово
saga	kvk	nv	16780	186	16690	Mennirnir hafa allir komið við	sögu	lögreglu áður.	Við heyrum	söguna	aftur.	saːɣa	Nafnorð	f.	1K									sögu	sögu	sögu	sögur	sögur	sögum	sagna											saga.mp3	story; history; saga	історія / оповідання; історія; сага	іменник
háttur	kk	nk	16633	187	5688	Þetta er á engan	hátt	sambærilegt.	Við lærum þetta á réttan	hátt	.	hauhtʏr	Nafnorð	m.	1K									hátt	hætti	háttar	hættir	hætti	háttum	hátta											háttur.mp3	custom; way	звичай / звичка; шлях / путь / спосіб	іменник
hönd	kvk	nv	15773	188	426053	Slökkviliðið hefur unnið hörðum	höndum	við að slökkva eldinn.	Við erum með tvær	hendur	.	hœnt	Nafnorð	f.	1K									hönd	hendi	handar	hendur	hendur	höndum	handa											hönd.mp3	hand	рука	іменник
hluti	kk	nk	15749	190.5	7167	Ræningjarnir vildu fá	hluta	af vinningnum.	Hún hlustar á fyrri	hluta	sögunnar.	l̥ʏːtɪ	Nafnorð	m.	1K									hluta	hluta	hluta	hlutar	hluta	hlutum	hluta											hluti.mp3	part, portion	частина; порція	іменник
þrír	to	t	15749	190.5	403790	Ég gekk til þessa samstarf hérna fyrir	þremur	árum.	Þau þekktust í	þrjú	ár.	θriːr	Töluorð	num.	1K																þrír -- þrjár -- þrjú	þrír  --									þrír.mp3	three	три	чисельник
þáttur	kk	nk	15733	193	5692	Um þrjú þúsund konur tóku	þátt	í rannsókninni.	Sagan er sögð í mörgum	þáttum	.	θauhtʏr	Nafnorð	m.	1K									þátt	þætti	þáttar	þættir	þætti	þáttum	þátta											þáttur.mp3	part, factor; program	частина; фактор; програма	іменник
meðal	fs	a	15599	194.5	495301	Það hefur orðið viðhorfsbreyting	meðal	almennings í landinu.	Hún var fyrst	meðal	nemenda.	mɛːðal	Forsetning	prep.	1K								meðal																		meðal.mp3	among	серед	прийменник
orð	hk	nh	15472	196	2635	Í fáum	orðum	sagt , þetta er einfaldlega ekki hægt.	Við lærum mörg	orð	.	ɔrð	Nafnorð	n.	1K									orð	orði	orðs	orð	orð	orðum	orða											orð.mp3	word	слово	іменник
klukka	kvk	nv	15414	197	16559	Tilboðin verða opnuð	klukkan	tvö á mánudag.	Ég fylgist með	klukkunni	.	kʰlʏhka	Nafnorð	f.	1K									klukku	klukku	klukku	klukkur	klukkur	klukkum	klukkna											klukka.mp3	clock	годинник	іменник
ýmis	fn	fo	15235	198	478808	Plönturnar voru á	ýmsum	stigum ræktunar.	Þau kaupa	ýmsan	mat.	iːmɪs	Fornafn	pron.	1K																ýmsir -- ýmsar -- ýmis	ýmis  --  ýmis -- ýmist									ýmis.mp3	various	різноманітний	займенник
alltaf	ao	a	15006	199	495463	Það höfum við	alltaf	gert.	Hún sofnar	alltaf	fljótt.	al̥taf	Atviksorð	adv.	1K								alltaf																		alltaf.mp3	always	завжди	прислівник
aðeins	ao	a	14981	200	488604	Þeir segja að hann verði	aðeins	notaður í friðsamlegum tilgangi.	Ég hitti	aðeins	einn annan mann.	aːðeins	Atviksorð	adv.	1K								aðeins																		aðeins.mp3	only	тільки	прислівник
líf	hk	nh	14653	201	2271	Alls hafa því 19 manns látið	lífið	af völdum hans.	Konan nýtur	lífsins	.	liːv	Nafnorð	n.	1K									líf	lífi	lífs	líf	líf	lífum	lífa											líf.mp3	life	життя	іменник
tala	so	s	14480	202	424804	Forsetinn	talaði	líka um pönnukökur í ræðu sinni.	Við skulum	tala	um þetta mál.	tʰaːla	Sagnorð	v.	1K	tala	talar	talar	talaði	talaðir	talaði	talað																			tala.mp3	talk, speak	розмовляти; говорити	дієслово
niður	fs	a	14441	203.5	495310	Þar voru fjórir sleðar á leið	niður	dalinn.	Við gengum	niður	á 1. hæð.	nɪːðʏr	Forsetning	prep.	1K								niður																		niður.mp3	down	вниз	прийменник
því	ao	a	14390	205	495873	Sjóðurinn verður	því	líklegast orðinn tómur þegar líður á haustið.	Sjórinn er 	því	kaldur.	θviː	Atviksorð	adv.	1K								því																		því.mp3	therefore	тому / у наслідок цього / з цієї причини	прислівник
áhrif	hk	nh	14126	206	36704	Maðurinn mun hafa verið undir	áhrifum	áfengis.	Veðrið hefur	áhrif	á ferðalagið.	auːr̥ɪv	Nafnorð	n.	1K									áhrif	áhrifi	áhrifs	áhrif	áhrif	áhrifum	áhrifa											áhrif.mp3	influence	вплив	іменник
virða	so	s	14050	207	435580	Hann vilji	virða	þær reglur.	Ég 	virði	þína skoðun.	vɪrða	Sagnorð	v.	1K	virði	virðir	virðir	virti	virtir	virti	virt																			virða.mp3	respect; value	повага / поважати; значення / корисність / цінність	дієслово
líta	so	s	13947	208	466772	Þannig að þetta	lítur	vel út.	Hann	lítur	á mig.	liːta	Sagnorð	v.	1K	lít	lítur	lítur	leit	leist	leit	litið																			líta.mp3	look; see	дивитися; бачити	дієслово
fylgja	so	s	13844	209	434725	Skólastjórar segjast munu	fylgjast	vel með nemendum sínum.	Hann	fylgir	barninu í skólann.	fɪlca	Sagnorð	v.	1K	fylgi	fylgir	fylgir	fylgdi	fylgdir	fylgdi	fylgt																			fylgja.mp3	follow; accompany	слідувати; супроводжувати	дієслово
sinn	hk	nh	13839	210	3130	Hann var handtekinn fjórum	sinnum	á einum sólarhring.	Ég sagði þér það mörgum	sinnum	.	sɪn	Nafnorð	n.	1K									sinn	sinni	sinns	sinn	sinn	sinnum	sinna											sinn.mp3	time, occasion	час; випадок / можливість	іменник
nefna	so	s	13814	211	435097	Þar eru einkum fjögur lönd	nefnd	sem næstu aðildarþjóðir.	Þú skalt 	nefna	það við manninn.	nɛpna	Sagnorð	v.	1K	nefni	nefnir	nefnir	nefndi	nefndir	nefndi	nefnt																			nefna.mp3	name; mention	ім'я; згадування / згадувати / посилатися на	дієслово
efni	hk	nh	13634	212	882	Hann segir að öll óvissa sé slæm í þeim	efnum	.	Ég keypti 	efni	til að sauma úr.	ɛpnɪ	Nafnorð	n.	1K									efni	efni	efnis	efni	efni	efnum	efna											efni.mp3	material; fabric; content	матеріал; тканина / матерія / структура	іменник
búinn	lo	l	13613	213	165330	Þannig að ég er	búin	að bíða svona svolítið.	Þú ert	búinn	með verkefnið.	puːɪn	Lýsingarorð	adj.	1K																					búinn  --  búin -- búið					búinn.mp3	finished; fitted out	завершений; обладнаний	прикметник
svona	ao	a	13485	214	495786	Og svo þróast þessi hugmynd	svona	stig af stigi.	Námskeiðið er kennt	svona	.	svɔːna	Atviksorð	adv.	1K								svona																		svona.mp3	like that, thus; approximately	як цей; приблизно	прислівник
aldrei	ao	a	13441	215	495462	Svona tilvik hafi	aldrei	komið upp áður.	Barnið hefur	aldrei	synt í sjó.	altrei	Atviksorð	adv.	1K								aldrei																		aldrei.mp3	never	ніколи	прислівник
liggja	so	s	13363	216	466611	Upplýsingar um líðan hans	liggja	ekki fyrir.	Hann	liggur	í rúminu.	lɪca	Sagnorð	v.	1K	ligg	liggur	liggur	lá	lást	lá	legið																			liggja.mp3	lie	брехати / казати неправду	дієслово
byggja	so	s	12997	217	434567	Hann vill	byggja	upp hjálparstarfið enn frekar.	Smiðurinn	byggir	falleg hús.	pɪca	Sagnorð	v.	1K	byggi	byggir	byggir	byggði	byggðir	byggði	byggt																			byggja.mp3	build; inhabit	будувати; населяти / жити	дієслово
